+,-  1996 10 27    19   8
-,+  1996 11 04     8  20
+,-  1996 11 24    20   7
-,+  1996 12 09     6  12
-,+  1997 01 07     8  12
+,-  1997 01 19    12  16
+,-  1997 02 13     6  20
-,+  1997 03 05    20   7
+,-  1997 03 12     7   7
-,+  1997 04 12    21   4
+,-  1997 04 16     4  12
-,+  1997 05 11    11   4
+,-  1997 05 15     4   5
-,+  1997 06 12     4   7
-,+  1997 07 03     8   4
+,-  1997 07 07     4   4
-,+  1997 07 11     4  13
+,-  1997 07 24    13   6
-,+  1997 07 30     6   6
+,-  1997 08 05     6   4
-,+  1997 08 09     4  16
-,+  1997 09 09     9  14
+,-  1997 10 03     7   4
-,+  1997 10 07     4  15
+,-  1997 11 16    12  17
-,+  1997 12 03    17   4
+,-  1997 12 07     4   8
-,+  1997 12 21     4   4
+,-  1997 12 25     4   4
-,+  1997 12 29     4   8
-,+  1998 01 22    11   8
+,-  1998 01 30     8   7
-,+  1998 02 23    15   4
+,-  1998 02 27     4   6
-,+  1998 03 05     6   5
+,-  1998 03 10     5  11
-,+  1998 04 14     7  10
+,-  1998 04 24    10   7
-,+  1998 05 16    12   4
+,-  1998 05 20     4   8
-,+  1998 05 28     8   5
+,-  1998 06 02     5   9
-,+  1998 06 11     9   7
+,-  1998 06 18     7   6
-,+  1998 06 24     6   8
+,-  1998 07 02     8   8
-,+  1998 07 10     8   6
+,-  1998 07 16     6   5
-,+  1998 07 21     5   8
+,-  1998 09 02    11  10
-,+  1998 09 12    10  14
+,-  1998 09 26    14  11
-,+  1998 10 07    11   7
+,-  1998 10 27    10   6
-,+  1998 11 02     6   7
+,-  1998 11 09     7  10
-,+  1998 11 19    10   4
+,-  1998 11 23     4   8
-,+  1998 12 01     8  11
+,-  1998 12 12    11   6
-,+  1998 12 18     6  17
+,-  1999 01 04    17  10
-,+  1999 01 14    10  20
+,-  1999 02 03    20   9
-,+  1999 02 12     9   6
+,-  1999 02 28     8  10
-,+  1999 03 10    10  19
+,-  1999 03 29    19  11
-,+  1999 04 09    11  17
+,-  1999 04 26    17   9
-,+  1999 05 05     9   8
+,-  1999 05 24     8  10
-,+  1999 06 03    10   5
+,-  1999 06 08     5   8
-,+  1999 06 16     8   7
+,-  1999 07 02     7  11
-,+  1999 07 13    11   5
+,-  1999 07 30    10   7
-,+  1999 08 06     7   4
+,-  1999 08 10     4   6
-,+  1999 08 16     6   9
+,-  1999 08 25     9   5
-,+  1999 08 30     5   8
+,-  1999 09 07     8   5
-,+  1999 09 12     5  10
+,-  1999 09 22    10   5
-,+  1999 09 27     5   6
+,-  1999 10 03     6   7
-,+  1999 10 10     7  11
+,-  1999 10 30     7   8
-,+  1999 11 07     8   6
+,-  1999 11 13     6  10
-,+  1999 12 02     7  11
+,-  1999 12 13    11  11
-,+  1999 12 31     4  10
+,-  2000 01 10    10  10
-,+  2000 01 27     4  10
+,-  2000 02 06    10   9
-,+  2000 02 15     9  20
+,-  2000 03 06    20  10
-,+  2000 03 16    10  15
+,-  2000 03 31    15  13
-,+  2000 04 13    13  14
+,-  2000 04 27    14  15
-,+  2000 05 12    15  12
+,-  2000 05 24    12  14
-,+  2000 06 07    14   6
+,-  2000 06 22     8  12
-,+  2000 07 04    12  10
+,-  2000 07 14    10  18
-,+  2000 08 01    18  12
-,+  2000 08 28    11  12
+,-  2000 09 09    12   6
-,+  2000 09 25     9   9
+,-  2000 10 04     9   6
-,+  2000 10 10     6   5
+,-  2000 10 15     5   7
-,+  2000 10 22     7   9
+,-  2000 10 31     9   4
-,+  2000 11 04     4   4
+,-  2000 11 08     4  10
-,+  2000 11 18    10   6
+,-  2000 11 24     6   7
-,+  2000 12 01     7   6
+,-  2000 12 07     6  10
-,+  2000 12 17    10   6
+,-  2000 12 23     6   6
-,+  2000 12 29     6   6
+,-  2001 01 04     6   7
-,+  2001 01 11     7   5
-,+  2001 01 29     9  15
+,-  2001 02 13    15  14
-,+  2001 02 27    14  13
+,-  2001 03 12    13   9
-,+  2001 04 24    18  12
+,-  2001 05 06    12  12
+,-  2001 06 02    10  13
-,+  2001 06 15    13  12
+,-  2001 06 27    12  15
-,+  2001 07 12    15  12
+,-  2001 07 24    12  12
-,+  2001 08 05    12   5
+,-  2001 08 18     5  14
-,+  2001 09 01    14  13
+,-  2001 09 14    13  13
-,+  2001 10 08     5   4
+,-  2001 10 12     4   4
-,+  2001 10 16     4   7
+,-  2001 10 23     7   4
-,+  2001 10 27     4   6
-,+  2001 11 15     8   9
+,-  2001 11 24     9  16
+,-  2001 12 24     8  14
-,+  2002 01 07    14  13
+,-  2002 01 20    13  16
-,+  2002 02 05    16  11
-,+  2002 03 04    11  15
+,-  2002 03 19    15   7
-,+  2002 03 26     7  21
+,-  2002 05 06    16  13
-,+  2002 05 19    13  14
+,-  2002 06 02    14  14
-,+  2002 06 16    14  11
+,-  2002 06 27    11  15
-,+  2002 07 12    15   8
-,+  2002 08 08    15  11
+,-  2002 08 19    11  15
-,+  2002 09 03    15  12
+,-  2002 09 15    12  14
-,+  2002 09 29    14  15
+,-  2002 10 14    15  10
-,+  2002 10 24    10  17
+,-  2002 11 10    17  11
-,+  2002 11 21    11  15
+,-  2002 12 06    15  12
+,-  2003 01 03    11  14
-,+  2003 01 17    14  13
+,-  2003 01 30    13  14
-,+  2003 02 13    14  14
+,-  2003 02 27    14  13
-,+  2003 03 12    13  14
+,-  2003 03 26    14  13
-,+  2003 04 08    13  12
+,-  2003 04 20    12  15
-,+  2003 05 05    15  13
+,-  2003 05 18    13  12
-,+  2003 05 30    12  14
+,-  2003 06 13    14  14
-,+  2003 06 27    14  14
+,-  2003 07 11    14  16
-,+  2003 07 27    16   8
+,-  2003 08 04     8  16
-,+  2003 08 20    16  12
+,-  2003 09 01    12  15
-,+  2003 09 16    15  14
+,-  2003 09 30    14  13
-,+  2003 10 13    13   9
+,-  2003 10 22     9   8
-,+  2003 11 08     8  13
+,-  2003 11 21    13  14
-,+  2003 12 05    14  15
+,-  2003 12 20    15  11
-,+  2003 12 31    11  14
+,-  2004 01 14    14  14
-,+  2004 01 28    14  14
+,-  2004 02 11    14  16
-,+  2004 02 27    16  12
+,-  2004 03 10    12  14
-,+  2004 03 24    14  10
+,-  2004 04 03    10  18
-,+  2004 04 21    18  10
+,-  2004 05 01    10  17
-,+  2004 05 18    17  11
+,-  2004 05 29    11  14
-,+  2004 06 12    14  13
+,-  2004 06 25    13  14
-,+  2004 07 09    14  10
+,-  2004 07 19    10   4
-,+  2004 07 23     4   4
+,-  2004 07 27     4  11
-,+  2004 08 07    11   7
+,-  2004 08 14     7   5
-,+  2004 08 19     5   6
+,-  2004 08 25     6  11
-,+  2004 09 05    11   5
+,-  2004 09 10     5   4
-,+  2004 09 14     4   5
+,-  2004 09 19     5  14
-,+  2004 10 03    14   4
+,-  2004 10 07     4   4
-,+  2004 10 11     4   6
+,-  2004 10 17     6  12
-,+  2004 10 29    12   5
+,-  2004 11 03     5   5
-,+  2004 11 08     5   4
+,-  2004 11 12     4  12
-,+  2004 11 24    12   5
+,-  2004 11 29     5   7
-,+  2004 12 06     7   5
+,-  2004 12 11     5  11
-,+  2004 12 30     5   7
+,-  2005 01 06     7  11
-,+  2005 01 17    11   4
+,-  2005 01 21     4   7
-,+  2005 01 28     7   9
+,-  2005 02 06     9   8
-,+  2005 02 23     7  10
+,-  2005 03 05    10   9
-,+  2005 03 23     7  10
+,-  2005 04 02    10  18
-,+  2005 04 20    18   9
+,-  2005 04 29     9   7
-,+  2005 05 14     6   6
+,-  2005 06 04     4   8
-,+  2005 06 12     8  10
+,-  2005 06 22    10   6
-,+  2005 07 10     9   8
+,-  2005 07 18     8   8
-,+  2005 08 03     6  10
+,-  2005 08 13    10   9
-,+  2005 09 01     8   9
+,-  2005 09 10     9   6
-,+  2005 09 16     6   8
+,-  2005 10 07    11   8
-,+  2005 10 15     8   6
+,-  2005 10 21     6   4
-,+  2005 10 25     4   8
+,-  2005 11 02     8   9
-,+  2005 11 11     9   7
+,-  2005 11 18     7   4
-,+  2005 11 22     4   6
+,-  2005 11 28     6  10
-,+  2005 12 08    10  15
-,+  2006 01 03     7   9
+,-  2006 01 23     9   9
-,+  2006 02 01     9   6
+,-  2006 02 19    10   9
-,+  2006 02 28     9   5
+,-  2006 03 05     5   4
-,+  2006 03 09     4   9
+,-  2006 03 18     9   9
-,+  2006 03 27     9  17
+,-  2006 04 13    17   8
-,+  2006 04 21     8   5
+,-  2006 05 10     4   7
-,+  2006 05 17     7   8
+,-  2006 05 25     8   6
-,+  2006 05 31     6   5
+,-  2006 06 05     5   9
-,+  2006 06 14     9  10
-,+  2006 07 11     7  11
+,-  2006 07 30     6   7
-,+  2006 08 06     7   7
+,-  2006 08 13     7   4
-,+  2006 08 17     4  10
+,-  2006 08 27    10   5
-,+  2006 09 01     5   8
+,-  2006 09 09     8   8
-,+  2006 09 17     8   6
+,-  2006 09 23     6   7
-,+  2006 09 30     7   7
+,-  2006 10 07     7   4
-,+  2006 10 11     4   8
+,-  2006 10 19     8   8
-,+  2006 10 27     8   8
+,-  2006 11 04     8   6
-,+  2006 11 10     6   5
+,-  2006 11 15     5   7
-,+  2006 11 22     7   7
+,-  2006 11 29     7   6
-,+  2006 12 05     6   4
+,-  2006 12 09     4   8
-,+  2006 12 17     8  12
+,-  2006 12 29    12   4
-,+  2007 01 02     4   6
+,-  2007 01 08     6   7
-,+  2007 01 15     7  11
+,-  2007 02 04     6   9
-,+  2007 02 13     9   9
+,-  2007 02 22     9   4
-,+  2007 02 26     4   6
+,-  2007 03 04     6   8
-,+  2007 03 12     8  10
+,-  2007 04 01     7   8
-,+  2007 04 09     8   8
+,-  2007 04 17     8   5
-,+  2007 04 22     5   5
+,-  2007 04 27     5  11
-,+  2007 05 08    11   6
+,-  2007 05 14     6   4
-,+  2007 05 18     4   4
+,-  2007 05 22     4  11
-,+  2007 06 02    11   6
+,-  2007 06 08     6   6
-,+  2007 06 14     6   7
+,-  2007 06 21     7   8
-,+  2007 06 29     8   4
+,-  2007 07 03     4   8
-,+  2007 07 11     8   8
+,-  2007 07 19     8   8
-,+  2007 08 06     8   9
+,-  2007 08 15     9  17
-,+  2007 09 01    17  11
+,-  2007 09 12    11  16
-,+  2007 09 28    16  13
+,-  2007 10 11    13   9
+,-  2007 11 06    12  15
-,+  2007 11 21    15  12
